Age,CO2,Proxy
211.8,2394,PALEOSOLS (d13C)
210.7,688,PALEOSOLS (d13C)
210.7,537,PALEOSOLS (d13C)
210.7,754,PALEOSOLS (d13C)
211.8,2164,PALEOSOLS (d13C)
211.8,1787,PALEOSOLS (d13C)
211.8,2023,PALEOSOLS (d13C)
211.8,2517,PALEOSOLS (d13C)
211.8,1943,PALEOSOLS (d13C)
211.8,2274,PALEOSOLS (d13C)
210.7,1119,PALEOSOLS (d13C)
211.8,2051,PALEOSOLS (d13C)
205.4,2665,PALEOSOLS (d13C)
205.4,2553,PALEOSOLS (d13C)
205.4,1627,PALEOSOLS (d13C)
205.4,1787,PALEOSOLS (d13C)
205.4,1294,PALEOSOLS (d13C)
205.4,1322,PALEOSOLS (d13C)
205.4,1545,PALEOSOLS (d13C)
205.4,1026,PALEOSOLS (d13C)
205.4,1245,PALEOSOLS (d13C)
205.4,2335,PALEOSOLS (d13C)
205.4,2404,PALEOSOLS (d13C)
205.4,2950,PALEOSOLS (d13C)
205.4,2674,PALEOSOLS (d13C)
205.4,1759,PALEOSOLS (d13C)
205.4,1686,PALEOSOLS (d13C)
205.4,3237,PALEOSOLS (d13C)
205.4,2427,PALEOSOLS (d13C)
205.4,1227,PALEOSOLS (d13C)
205.4,2534,PALEOSOLS (d13C)
205.4,1546,PALEOSOLS (d13C)
205.4,682,PALEOSOLS (d13C)
205.4,1922,PALEOSOLS (d13C)
205.4,2342,PALEOSOLS (d13C)
12.8,433,PALEOSOLS (d13C)
13.1,519,PALEOSOLS (d13C)
13.8,310,PALEOSOLS (d13C)
14.4,203,PALEOSOLS (d13C)
14.7,116,PALEOSOLS (d13C)
15.1,291,PALEOSOLS (d13C)
15.6,852,PALEOSOLS (d13C)
16.0,579,PALEOSOLS (d13C)
16.1,487,PALEOSOLS (d13C)
95.3,3268,PALEOSOLS (d13C)
113.4,1478,PALEOSOLS (d13C)
200.4,2496,PALEOSOLS (d13C)
200.5,3131,PALEOSOLS (d13C)
200.9,5273,PALEOSOLS (d13C)
200.9,4941,PALEOSOLS (d13C)
200.9,1949,PALEOSOLS (d13C)
201.0,2356,PALEOSOLS (d13C)
201.1,3708,PALEOSOLS (d13C)
201.1,2642,PALEOSOLS (d13C)
201.2,3460,PALEOSOLS (d13C)
201.2,3014,PALEOSOLS (d13C)
201.2,3657,PALEOSOLS (d13C)
201.2,4015,PALEOSOLS (d13C)
201.2,4050,PALEOSOLS (d13C)
201.2,4070,PALEOSOLS (d13C)
201.2,4234,PALEOSOLS (d13C)
201.3,3453,PALEOSOLS (d13C)
201.3,3577,PALEOSOLS (d13C)
201.4,3584,PALEOSOLS (d13C)
201.5,4228,PALEOSOLS (d13C)
201.5,4434,PALEOSOLS (d13C)
201.5,1065,PALEOSOLS (d13C)
201.7,1787,PALEOSOLS (d13C)
201.8,2242,PALEOSOLS (d13C)
201.9,2253,PALEOSOLS (d13C)
202.1,2263,PALEOSOLS (d13C)
202.2,1597,PALEOSOLS (d13C)
202.5,2419,PALEOSOLS (d13C)
203.0,2231,PALEOSOLS (d13C)
203.1,1947,PALEOSOLS (d13C)
203.6,1532,PALEOSOLS (d13C)
203.7,2782,PALEOSOLS (d13C)
203.9,1475,PALEOSOLS (d13C)
211.9,1775,PALEOSOLS (d13C)
211.9,1703,PALEOSOLS (d13C)
211.9,2218,PALEOSOLS (d13C)
211.9,2064,PALEOSOLS (d13C)
205.0,2065,PALEOSOLS (d13C)
201.3,5186,PALEOSOLS (d13C)
201.2,3074,PALEOSOLS (d13C)
200.8,2249,PALEOSOLS (d13C)
200.8,5473,PALEOSOLS (d13C)
200.8,2980,PALEOSOLS (d13C)
200.8,3530,PALEOSOLS (d13C)
200.8,4391,PALEOSOLS (d13C)
200.8,4518,PALEOSOLS (d13C)
200.7,3574,PALEOSOLS (d13C)
200.7,2727,PALEOSOLS (d13C)
